ID_Estudiante,ID_Intake,Nombre,Email
1,1,Jafet Casals,jafet_casals@gmail.com
2,1,Jorge Manzanares,jorge_manzanares@gmail.com
3,1,Onofre Adadia,onofre_adadia@gmail.com
4,1,Merche Prada,merche_prada@gmail.com
5,1,Pilar Abella,pilar_abella@gmail.com
6,1,Leoncio Tena,leoncio_tena@gmail.com
7,1,Odalys Torrijos,odalys_torrijos@gmail.com
8,1,Eduardo Caparrós,eduardo_caparrós@gmail.com
9,1,Ignacio Goicoechea,ignacio_goicoechea@gmail.com
10,1,Clementina Santos,clementina_santos@gmail.com
11,1,Daniela Falcó,daniela_falcó@gmail.com
12,1,Abraham Vélez,abraham_vélez@gmail.com
13,1,Maximiliano Menéndez,maximiliano_menéndez@gmail.com
14,1,Anita Heredia,anita_heredia@gmail.com
15,1,Eli Casas,eli_casas@gmail.com
16,6,Guillermo Borrego,guillermo_borrego@gmail.com
17,6,Sergio Aguirre,sergio_aguirre@gmail.com
18,6,Carlito Carrión,carlito_carrión@gmail.com
19,6,Haydée Figueroa,haydée_figueroa@gmail.com
20,6,Chita Mancebo,chita_mancebo@gmail.com
21,6,Joaquina Asensio,joaquina_asensio@gmail.com
22,6,Cristian Sarabia,cristian_sarabia@gmail.com
23,6,Isabel Ibáñez,isabel_ibáñez@gmail.com
24,6,Desiderio Jordá,desiderio_jordá@gmail.com
25,6,Rosalina Llanos,rosalina_llanos@gmail.com
26,2,Amor Larrañaga,amor_larrañaga@gmail.com
27,2,Teodoro Alberola,teodoro_alberola@gmail.com
28,2,Cleto Plana,cleto_plana@gmail.com
29,2,Aitana Sebastián,aitana_sebastián@gmail.com
30,2,Dolores Valbuena,dolores_valbuena@gmail.com
31,2,Julie Ferrer,julie_ferrer@gmail.com
32,2,Mireia Cabañas,mireia_cabañas@gmail.com
33,2,Flavia Amador,flavia_amador@gmail.com
34,2,Albino Macias,albino_macias@gmail.com
35,2,Ester Sánchez,ester_sánchez@gmail.com
36,2,Luis Miguel Galvez,luis_miguel_galvez@gmail.com
37,2,Loida Arellano,loida_arellano@gmail.com
38,2,Heraclio Duque,heraclio_duque@gmail.com
39,2,Herberto Figueras,herberto_figueras@gmail.com
40,4,Teresa Laguna,teresa_laguna@gmail.com
41,4,Estrella Murillo,estrella_murillo@gmail.com
42,4,Ernesto Uriarte,ernesto_uriarte@gmail.com
43,4,Daniela Guitart,daniela_guitart@gmail.com
44,4,Timoteo Trillo,timoteo_trillo@gmail.com
45,4,Ricarda Tovar,ricarda_tovar@gmail.com
46,4,Alejandra Vilaplana,alejandra_vilaplana@gmail.com
47,4,Daniel Rosselló,daniel_rosselló@gmail.com
48,4,Rita Olivares,rita_olivares@gmail.com
49,4,Cleto Montes,cleto_montes@gmail.com
50,4,Marino Castilla,marino_castilla@gmail.com
51,4,Estefanía Valcárcel,estefanía_valcárcel@gmail.com
52,4,Noemí Vilanova,noemí_vilanova@gmail.com
